Timestamp,CPU_Usage (%),Memory_Usage (%),Disk_Usage (%)
2025-01-03 13:42:34,24.6,41.3,7.1
2025-01-03 13:42:34,21.7,41.3,7.1
2025-01-03 13:42:34,19.3,41.3,7.1
2025-01-03 13:42:35,18.8,41.3,7.1
2025-01-03 13:42:35,22.1,41.3,7.1
2025-01-03 13:42:35,17.6,41.4,7.1
2025-01-03 13:42:35,27.7,41.4,7.1
2025-01-03 13:42:35,16.9,41.4,7.1
2025-01-03 13:42:35,21.3,41.4,7.1
2025-01-03 13:42:35,16.7,41.4,7.1
2025-01-03 13:42:35,20.4,41.4,7.1
2025-01-03 13:42:35,22.1,41.4,7.1
2025-01-03 13:42:36,14.1,41.4,7.1
2025-01-03 13:42:36,24.1,41.4,7.1
2025-01-03 13:42:36,17.9,41.4,7.1
2025-01-03 13:42:36,19.5,41.4,7.1
2025-01-03 13:42:36,16.7,41.4,7.1
2025-01-03 13:42:36,18.5,41.4,7.1
2025-01-03 13:42:36,20.4,41.4,7.1
2025-01-03 13:42:36,18.3,41.4,7.1
2025-01-03 13:42:36,17.9,41.4,7.1
2025-01-03 13:42:37,17.9,41.4,7.1
2025-01-03 13:42:37,15.4,41.4,7.1
2025-01-03 13:42:37,14.8,41.4,7.1
2025-01-03 13:42:37,20.6,41.4,7.1
2025-01-03 13:42:37,17.2,41.4,7.1
2025-01-03 13:42:37,21.9,41.4,7.1
2025-01-03 13:42:37,18.1,41.4,7.1
2025-01-03 13:42:37,18.2,41.4,7.1
2025-01-03 13:42:37,20.9,41.4,7.1
2025-01-03 13:42:38,15.7,41.4,7.1
2025-01-03 13:42:38,20.4,41.4,7.1
2025-01-03 13:42:38,22.6,41.4,7.1
2025-01-03 13:42:38,22.6,41.4,7.1
2025-01-03 13:42:38,13.6,41.4,7.1
2025-01-03 13:42:38,18.7,41.4,7.1
2025-01-03 13:42:38,24.0,41.4,7.1
2025-01-03 13:42:38,16.9,41.4,7.1
2025-01-03 13:42:38,24.3,41.4,7.1
2025-01-03 13:42:39,19.8,41.4,7.1
2025-01-03 13:42:39,16.5,41.4,7.1
2025-01-03 13:42:39,18.6,41.4,7.1
2025-01-03 13:42:39,18.9,41.4,7.1
2025-01-03 13:42:39,20.5,41.4,7.1
2025-01-03 13:42:39,17.4,41.4,7.1
2025-01-03 13:42:39,16.2,41.4,7.1
2025-01-03 13:42:39,15.3,41.4,7.1
2025-01-03 13:42:39,17.1,41.4,7.1
2025-01-03 13:42:40,17.9,41.4,7.1
2025-01-03 13:42:40,18.3,41.4,7.1
2025-01-03 13:42:40,14.5,41.4,7.1
2025-01-03 13:42:40,20.2,41.4,7.1
2025-01-03 13:42:40,17.0,41.4,7.1
2025-01-03 13:42:40,14.3,41.4,7.1
2025-01-03 13:42:40,21.3,41.4,7.1
2025-01-03 13:42:40,16.9,41.4,7.1
2025-01-03 13:42:40,18.9,41.4,7.1
2025-01-03 13:42:41,12.5,41.4,7.1
2025-01-03 13:42:41,18.2,41.4,7.1
2025-01-03 13:42:41,17.2,41.4,7.1
2025-01-03 13:42:41,22.5,41.4,7.1
2025-01-03 13:42:41,24.0,41.4,7.1
2025-01-03 13:42:41,18.4,41.4,7.1
2025-01-03 13:42:41,23.2,41.4,7.1
2025-01-03 13:42:41,21.3,41.4,7.1
2025-01-03 13:42:41,19.3,41.4,7.1
2025-01-03 13:42:42,15.3,41.4,7.1
2025-01-03 13:42:42,15.3,41.4,7.1
2025-01-03 13:42:42,22.0,41.4,7.1
2025-01-03 13:42:42,23.7,41.4,7.1
2025-01-03 13:42:42,19.1,41.4,7.1
2025-01-03 13:42:42,19.3,41.4,7.1
2025-01-03 13:42:42,15.7,41.4,7.1
2025-01-03 13:42:42,23.0,41.4,7.1
2025-01-03 13:42:42,21.3,41.4,7.1
2025-01-03 13:42:42,25.3,41.4,7.1
2025-01-03 13:42:43,13.4,41.4,7.1
2025-01-03 13:42:43,17.8,41.4,7.1
2025-01-03 13:42:43,25.5,41.4,7.1
2025-01-03 13:42:43,23.2,41.4,7.1
2025-01-03 13:42:43,26.3,41.4,7.1
2025-01-03 13:42:43,20.4,41.4,7.1
2025-01-03 13:42:43,20.0,41.4,7.1
2025-01-03 13:42:43,21.8,41.4,7.1
2025-01-03 13:42:43,16.9,41.4,7.1
2025-01-03 13:42:44,15.9,41.4,7.1
2025-01-03 13:42:44,16.2,41.4,7.1
2025-01-03 13:42:44,25.3,41.4,7.1
2025-01-03 13:42:44,15.7,41.4,7.1
2025-01-03 13:42:44,17.2,41.4,7.1
2025-01-03 13:42:44,16.9,41.4,7.1
2025-01-03 13:42:44,19.8,41.4,7.1
2025-01-03 13:42:44,18.9,41.4,7.1
2025-01-03 13:42:44,18.9,41.4,7.1
2025-01-03 13:42:45,22.2,41.4,7.1
2025-01-03 13:42:45,18.6,41.4,7.1
2025-01-03 13:42:45,16.5,41.4,7.1
2025-01-03 13:42:45,25.5,41.4,7.1
2025-01-03 13:42:45,18.7,41.4,7.1
2025-01-03 13:42:45,19.6,41.4,7.1
2025-01-03 13:42:45,18.2,41.4,7.1
2025-01-03 13:42:45,19.8,41.4,7.1
2025-01-03 13:42:45,19.8,41.4,7.1
2025-01-03 13:42:46,18.6,41.4,7.1
2025-01-03 13:42:46,19.0,41.4,7.1
2025-01-03 13:42:46,16.3,41.4,7.1
2025-01-03 13:42:46,19.1,41.4,7.1
2025-01-03 13:42:46,16.5,41.4,7.1
2025-01-03 13:42:46,26.9,41.4,7.1
2025-01-03 13:42:46,23.7,41.4,7.1
2025-01-03 13:42:46,20.6,41.4,7.1
2025-01-03 13:42:46,18.3,41.4,7.1
2025-01-03 13:42:47,17.8,41.4,7.1
2025-01-03 13:42:47,14.1,41.4,7.1
2025-01-03 13:42:47,20.0,41.4,7.1
2025-01-03 13:42:47,13.4,41.4,7.1
2025-01-03 13:42:47,19.6,41.4,7.1
2025-01-03 13:42:47,22.6,41.4,7.1
2025-01-03 13:42:47,27.0,41.4,7.1
2025-01-03 13:42:47,20.0,41.4,7.1
2025-01-03 13:42:48,15.0,41.4,7.1
2025-01-03 13:42:48,20.8,41.4,7.1
2025-01-03 13:42:48,23.5,41.4,7.1
2025-01-03 13:42:48,23.9,41.4,7.1
2025-01-03 13:42:48,17.1,41.4,7.1
2025-01-03 13:42:48,12.5,41.4,7.1
2025-01-03 13:42:48,23.0,41.4,7.1
2025-01-03 13:42:48,19.5,41.4,7.1
2025-01-03 13:42:48,16.1,41.4,7.1
2025-01-03 13:42:49,16.1,41.4,7.1
2025-01-03 13:42:49,19.4,41.4,7.1
2025-01-03 13:42:49,20.2,41.4,7.1
2025-01-03 13:42:49,18.7,41.4,7.1
2025-01-03 13:42:49,23.0,41.4,7.1
2025-01-03 13:42:49,23.5,41.4,7.1
2025-01-03 13:42:49,21.1,41.4,7.1
2025-01-03 13:42:49,19.1,41.4,7.1
2025-01-03 13:42:49,19.8,41.5,7.1
2025-01-03 13:42:50,19.3,41.4,7.1
2025-01-03 13:42:50,16.1,41.4,7.1
2025-01-03 13:42:50,19.1,41.4,7.1
2025-01-03 13:42:50,21.1,41.4,7.1
2025-01-03 13:42:50,17.6,41.4,7.1
2025-01-03 13:42:50,20.4,41.4,7.1
2025-01-03 13:42:50,16.7,41.4,7.1
2025-01-03 13:42:50,15.9,41.4,7.1
2025-01-03 13:42:50,15.5,41.4,7.1
2025-01-03 13:42:51,17.4,41.4,7.1
2025-01-03 13:42:51,12.3,41.4,7.1
2025-01-03 13:42:51,12.3,41.5,7.1
2025-01-03 13:42:51,17.4,41.4,7.1
2025-01-03 13:42:51,22.2,41.4,7.1
2025-01-03 13:42:51,16.1,41.4,7.1
2025-01-03 13:42:51,15.7,41.4,7.1
2025-01-03 13:42:51,19.1,41.5,7.1
2025-01-03 13:42:51,21.2,41.5,7.1
2025-01-03 13:42:52,17.3,41.5,7.1
2025-01-03 13:42:52,15.5,41.4,7.1
2025-01-03 13:42:52,20.2,41.4,7.1
2025-01-03 13:42:52,18.8,41.4,7.1
2025-01-03 13:42:52,16.5,41.4,7.1
2025-01-03 13:42:52,15.2,41.4,7.1
2025-01-03 13:42:52,18.9,41.5,7.1
2025-01-03 13:42:52,26.5,41.4,7.1
2025-01-03 13:42:52,19.6,41.4,7.1
2025-01-03 13:42:52,20.7,41.4,7.1
2025-01-03 13:42:53,16.1,41.4,7.1
2025-01-03 13:42:53,18.8,41.4,7.1
2025-01-03 13:42:53,23.2,41.4,7.1
2025-01-03 13:42:53,20.7,41.5,7.1
2025-01-03 13:42:53,21.4,41.4,7.1
2025-01-03 13:42:53,18.5,41.5,7.1
2025-01-03 13:42:53,21.7,41.4,7.1
2025-01-03 13:42:54,20.7,41.5,7.1
2025-01-03 13:42:54,19.8,41.5,7.1
2025-01-03 13:42:54,23.7,41.4,7.1
2025-01-03 13:42:54,17.0,41.4,7.1
2025-01-03 13:42:54,14.5,41.4,7.1
2025-01-03 13:42:54,20.7,41.4,7.1
2025-01-03 13:42:54,22.0,41.4,7.1
2025-01-03 13:42:54,20.5,41.4,7.1
2025-01-03 13:42:54,19.0,41.4,7.1
2025-01-03 13:42:55,19.8,41.4,7.1
2025-01-03 13:42:55,23.0,41.4,7.1
2025-01-03 13:42:55,15.3,41.4,7.1
2025-01-03 13:42:55,22.6,41.4,7.1
2025-01-03 13:42:55,18.1,41.4,7.1
2025-01-03 13:42:55,22.2,41.4,7.1
2025-01-03 13:42:55,21.6,41.4,7.1
2025-01-03 13:42:55,21.3,41.4,7.1
2025-01-03 13:42:55,15.9,41.4,7.1
2025-01-03 13:42:56,21.7,41.4,7.1
2025-01-03 13:42:56,14.1,41.4,7.1
2025-01-03 13:42:56,18.6,41.4,7.1
2025-01-03 13:42:56,18.2,41.4,7.1
2025-01-03 13:42:56,20.9,41.4,7.1
2025-01-03 13:42:56,20.9,41.4,7.1
2025-01-03 13:42:56,25.0,41.4,7.1
2025-01-03 13:42:56,17.6,41.4,7.1
2025-01-03 13:42:56,17.9,41.4,7.1
2025-01-03 13:42:57,16.9,41.4,7.1
2025-01-03 13:42:57,12.6,41.4,7.1
2025-01-03 13:42:57,19.8,41.4,7.1
2025-01-03 13:42:57,23.2,41.4,7.1
2025-01-03 13:42:57,17.6,41.4,7.1
2025-01-03 13:42:57,14.5,41.4,7.1
2025-01-03 13:42:57,18.0,41.4,7.1
2025-01-03 13:42:57,19.3,41.4,7.1
2025-01-03 13:42:57,18.1,41.4,7.1
2025-01-03 13:42:58,15.3,41.4,7.1
2025-01-03 13:42:58,17.4,41.4,7.1
2025-01-03 13:42:58,21.2,41.4,7.1
2025-01-03 13:42:58,24.5,41.4,7.1
2025-01-03 13:42:58,15.2,41.4,7.1
2025-01-03 13:42:58,19.6,41.4,7.1
